brand,articul,note,source_url,source_tier,confidence_status,error,name,collection,mechanism,caliber,diameter,water_resistance,seconds
Aerowatch,A 60996 AA04 M,Gents Automatic,,blocked,manual_check_required,,Aerowatch A 60996 AA04 M,,,,,,74.65
Alain Silberstein,Krono Bauhaus,auction reference,https://monochrome-watches.com/bell-ross-x-alain-silberstein-black-ceramic-trilogy-grail-watch-introducing-specs-price/,reputable,partial,,Bell & Ross BR 03-94 Krono 22 KRONO BAUHAUS,,Механический,BR. CAL-301 (ETA 2894),42 мм,100 м,135.91
Alpina,AL-525LBG4V6,Seastrong Diver,https://www.seriouswatches.com/products/alpina-seastrong-diver-300-al-525lbg4v6,unknown,partial,,Alpina Seastrong Diver AL-525LBG4V6,Seastrong Diver,Механический,AL-525,не найдено,300 м,211.98
Armand Nicolet,A640P-KN-P0640NC8,official product page,https://www.alltime.ru/watch/armand-nicolet/A640P-KN-P0640NC8/530018/,authorized,partial,,Armand Nicolet A640P-KN-P0640NC8,,Кварцевый,не найдено,41 мм,не найдено,137.54
Audemars Piguet,15510ST.OO.1320ST.06,Royal Oak official,https://www.audemarspiguet.com/com/en/watch-collection/royal-oak/15510ST.OO.1320ST.06.html,unknown,partial,,Audemars Piguet Royal Oak Selfwinding 15510ST.OO.1320ST.06,Royal Oak,Механический,не найдено,41 мм,не найдено,127.6
Auguste Reymond,AR.UN.04A.002.102.201,Unity,https://www.thewatchpages.com/watches/auguste-reymond-unity-arun04a002102201/,unknown,partial,,Auguste Reymond Unity AR.UN.04A.002.102.201,Unity,Механический,AR 200-1,43 мм,100 м,145.47
Ball,NM2080D-S1J-SL,Trainmaster Eternity,https://www.firstclasswatches.co.uk/ball-watch-company-trainmaster-eternity-silver-dial-automatic-day-date-display-nm2080d-s1j-sl-p-48177/?srsltid=AfmBOoqhnaZ821vxz9FhZ0LnXdNKTJXxFWym69xXmelnaw6D5F8fgS2h,unknown,partial,,Ball Trainmaster Eternity NM2080D-S1J-SL,Trainmaster,Механический,не найдено,39.5 мм,не найдено,146.65
Baume & Mercier,M0A10616,Riviera,https://watches.ae/products/m0a10616?srsltid=AfmBOopeLWcSoGpdIOcdvyed7BfjgiRp2KzHn2sE98wr66CceyWYDHj9,unknown,partial,,Baume & Mercier Riviera M0A10616,Riviera,Механический,BM13-1975A,42 мм,10 м,185.43
Bell & Ross,BR05A-BL-ST/SST,BR-05 official,https://www.the1916company.com/watches/bell & ross/br05a-bl-st/sst/,reputable,partial,,Bell & Ross BR-05 Black Steel BR05A-BL-ST/SST,BR-05,Механический,BR-CAL.321,40 мм,100 м,115.23
Bernhard H. Mayer,BM1016,Le Classique Rubber,https://zadwatch.com/products/le-classique-bernhard-h-mayer-bm1016-men?srsltid=AfmBOopmSWpiQCOenCYmGtv_Tj1Bykd9oEGt4sSmcPgSg1bNJmGDmY0C,reputable,partial,,Bernhard H. Mayer Le Classique BM1016,Le Classique,Кварцевый,не найдено,42 мм,100 м,104.57
Cartier,WSSA0037,Santos de Cartier,https://www.thewatchcompany.com/cartier-santos-de-cartier-wssa0037.html,reputable,partial,,Cartier Santos de Cartier WSSA0037,Santos de Cartier,Механический,не найдено,39.8 мм,100 м,139.57
Certina,C035.407.11.031.00,DS Podium,https://www.thewatchcompany.com/tissot-t-classic-t129-407-22-031-00.html?srsltid=AfmBOory1kIzkl621Q2VjXkNUPKqKgKz2x2PQjIkz6DzHoLVvG3IXpEt,reputable,partial,,Tissot T-Classic C035.407.11.031.00,T-Classic,Кварцевый,не найдено,27.4 мм,50 м,166.94
Charmex,2490,Ascot,,blocked,manual_check_required,,Charmex 2490,,,,,,34.79
Chopard,168561-3003,Mille Miglia,https://www.chopard.com/en-us/watches//168561-3003.html,official,partial,,Chopard L.U.C Perpetual Twin 168561-3003,L.U.C,Механический,96.22-L,43 мм,30 м,154.06
Cartier,WSSA0037,Santos de Cartier,https://www.thewatchcompany.com/cartier-santos-de-cartier-wssa0037.html,reputable,partial,,Cartier Santos de Cartier WSSA0037,Santos de Cartier,Механический,не найдено,39.8 мм,100 м,139.57
Certina,C035.407.11.031.00,DS Podium,https://www.thewatchcompany.com/tissot-t-classic-t129-407-22-031-00.html?srsltid=AfmBOory1kIzkl621Q2VjXkNUPKqKgKz2x2PQjIkz6DzHoLVvG3IXpEt,reputable,partial,,Tissot T-Classic C035.407.11.031.00,T-Classic,Кварцевый,не найдено,27.4 мм,50 м,166.94
Charmex,2490,Ascot,,blocked,manual_check_required,,Charmex 2490,,,,,,34.79
Chopard,168561-3003,Mille Miglia,https://www.chopard.com/en-us/watches//168561-3003.html,official,partial,,Chopard L.U.C Perpetual Twin 168561-3003,L.U.C,Механический,96.22-L,43 мм,30 м,154.06
Citizen,CB0010-02E,Eco-Drive,https://www.watchstraponline.com/Citizen-watchband-CB0010-02E/,unknown,manual_check_required,,Citizen ремень CB0010-02E,,,не найдено,не найдено,не найдено,83.36
Clerc,H1-1.11R.1,Hydroscaph H1,,blocked,manual_check_required,,Clerc H1-1.11R.1,,,,,,38.75
Corum,A395/04480,Admiral 42 Meteorite,,blocked,manual_check_required,,Corum A395/04480,,,,,,31.13
De GRISOGONO,TONDO BY NIGHT S15,Tondo By Night,,blocked,manual_check_required,,De GRISOGONO TONDO BY NIGHT S15,,,,,,34.21
Dior,CD084C10M001,Chiffre Rouge,,blocked,manual_check_required,,Dior CD084C10M001,,,,,,36.12
Ebel,1216394,Classic,,blocked,manual_check_required,,Ebel 1216394,,,,,,34.26
Citizen,CB0010-02E,Eco-Drive,https://www.watchstraponline.com/Citizen-watchband-CB0010-02E/,unknown,manual_check_required,,Citizen ремень CB0010-02E,,,не найдено,не найдено,не найдено,83.36
Clerc,H1-1.11R.1,Hydroscaph H1,,blocked,manual_check_required,,Clerc H1-1.11R.1,,,,,,38.75
Corum,A395/04480,Admiral 42 Meteorite,,blocked,manual_check_required,,Corum A395/04480,,,,,,31.13
De GRISOGONO,TONDO BY NIGHT S15,Tondo By Night,,blocked,manual_check_required,,De GRISOGONO TONDO BY NIGHT S15,,,,,,34.21
Dior,CD084C10M001,Chiffre Rouge,,blocked,manual_check_required,,Dior CD084C10M001,,,,,,36.12
Ebel,1216394,Classic,,blocked,manual_check_required,,Ebel 1216394,,,,,,34.26
Edox,83004-3N-NIN,Les Bémonts,,blocked,manual_check_required,,Edox 83004-3N-NIN,,,,,,71.42
Epos,3432.132.20.16.25,Originale,,blocked,manual_check_required,,Epos 3432.132.20.16.25,,,,,,61.99
Franck Muller,8880 C DT,Cintrée Curvex,,blocked,manual_check_required,,Franck Muller 8880 C DT,,,,,,60.07
Frederique Constant,FC-303MC5B6,Classics,https://www.frederiqueconstant.com/shop/FC-303MC5B6/,official,partial,,Frederique Constant Classics Automatic Watch FC-303MC5B6,Classics,Механический,FC-303 (Base SW200),40 мм,50 м,189.0
Girard-Perregaux,81010-11-634-11A,Laureato,https://www.thewatchcompany.com/girard-perregaux-81010-11-634-11a.html,reputable,partial,,Girard-Perregaux Laureato 81010-11-634-11A,Laureato,Механический,не найдено,42 мм,100 м,194.4
Graham,2OVAS.B02A,Chronofighter,,blocked,manual_check_required,,Graham 2OVAS.B02A,,,,,,60.2
Grand Seiko,SBGA211,Snowflake,https://www.grand-seiko.com/global-en/collections/sbga211,official,partial,,не найдено,не найдено,не найдено,не найдено,41.00 мм,100.00 м,137.89
Hamilton,H32515145,Jazzmaster,https://www.thewatchpages.com/watches/hamilton-jazzmaster-viewmatic-auto-h32515145/,reputable,partial,,Hamilton Jazzmaster Viewmatic Auto H32515145,Jazzmaster,Механический,H-10,40 мм,50 м,298.83
Hermes,W036704WW00,Cape Cod,,blocked,manual_check_required,,Hermes W036704WW00,,,,,,69.99
Hublot,511.NX.7170.RX,Classic Fusion,,blocked,manual_check_required,,Hublot 511.NX.7170.RX,,,,,,63.65
IceLink,Zuri 6TZ,6 Time Zone,https://www.icelink.com/en/watches/ZURI 6TZ,official,manual_check_required,,IceLink ZURI 6TZ,ZURI,не найдено,не найдено,не найдено,не найдено,
IWC,IW328201,Pilot's Watch Mark XX,https://www.caratco.com/products/iw328201,reputable,partial,,IWC Пилотская Часы Марк XX IW328201,Пилотская Часы,Механический,32111,40 мм,100 м,
Jacob & Co,EPIC X,guessed,,blocked,manual_check_required,,Jacob & Co EPIC X,,,,,,
Jaeger-LeCoultre,Q1368470,Master Ultra Thin Moon,https://www.jaeger-lecoultre.com/us-en/watches//Q1368470.html,official,partial,,Jaeger-LeCoultre Calibre 101 Q1368470,,Механический,101,39.00 мм,50.00 м,
Jaquet Droz,J017510240,Grande Seconde,https://www.watchfinder.com/watches/jaquet-droz/grande-heure-minute/j017510240/278251,unknown,partial,,Jaquet Droz Grande Heure Minute J017510240,Grande Heure Minute,Механический,не найдено,не найдено,не найдено,
JeanRichard Bressel,16012-11-60B-AA6D,Bressel Classic,,blocked,manual_check_required,,JeanRichard Bressel 16012-11-60B-AA6D,,,,,,
Juvenia,WTA2.4.054.20,J Collection World Time,https://www.juvenia.ch/wta2.4.054.20,official,partial,,Juvenia J Collection WTA2.4.054.20,J Collection,Механический,11 ½ ''' J07-A,40 мм,3 м,
Longines,L4.921.4.78.2,Heritage,,blocked,manual_check_required,,Longines L4.921.4.78.2,,,,,,
Louis Vuitton,Q1D300,Tambour,,blocked,manual_check_required,,Louis Vuitton Q1D300,,,,,,
Luxewood,LW1W-KB,watch winder placeholder,,blocked,manual_check_required,,Luxewood LW1W-KB,,,,,,
Luxewood,LW1W-KB,watch winder placeholder,,blocked,manual_check_required,,Luxewood LW1W-KB,,,,,,67.77
Maurice Lacroix,AI6008-SS002-430-1,Aikon,https://www.thewatchcompany.com/maurice-lacroix-aikon-ai6008-ss002-430-1.html?srsltid=AfmBOooDx3f5CmLWAnfeUWuDOctql92-QMbsfACr9XQqJ8o8P3a-TyK6,reputable,partial,,Maurice Lacroix Aikon AI6008-SS002-430-1,Aikon,Механический,не найдено,42 мм,200 м,251.27
Mido,M021.626.11.061.00,Commander,,blocked,manual_check_required,,Mido M021.626.11.061.00,,,,,,61.44
Montblanc,127339,Heritage,,blocked,manual_check_required,,Montblanc 127339,,,,,,69.73
Omega,210.30.42.20.03.001,Seamaster,https://www.thewatchcompany.com/omega-co-axial-master-chronometer-blue-steel-42mm-omega-21030422003001-39nmgzm0.html?srsltid=AfmBOorzfuaIrpkKvY4q1Ly-oTsFqhNirXfoS4fAMWZXTQyHSuVnr_nz,reputable,partial,,Omega Seamaster Diver 300M 210.30.42.20.03.001,Seamaster,Механический,8800,42 мм,300 м,279.91
Oris,01 733 7766 4135-07 8 20 05PEB,Aquis,,blocked,manual_check_required,,Oris 01 733 7766 4135-07 8 20 05PEB,,,,,,64.96
Panerai,PAM01393,Luminor,https://www.thewatchcompany.com/panerai-luminor-pam01393.html,reputable,partial,,Panerai Luminor PAM01393,Luminor,Механический,P.9010,42 мм,100 м,224.29
Parmigiani,PFC914-1020001-400182,Tonda PF,,blocked,manual_check_required,,Parmigiani PFC914-1020001-400182,,,,,,69.47
Patek Philippe,5811/1G-001,Nautilus,,blocked,manual_check_required,,Patek Philippe 5811/1G-001,,,,,,69.68
Paul Picot,P1253 SG TU 1614 4000,Yachtman Tachymeter,,blocked,manual_check_required,,Paul Picot P1253 SG TU 1614 4000,,,,,,69.1
